--- watch ---
3-gatsu no Lion | Akari Kawamoto 🚫 ($disable)
No.6 | Inukashi 🚫 ($disable)
No.6 | Karan (No.6) 🚫 ($disable)
No.6 | Nezumi 🚫 ($disable)
No.6 | Rikiga 🚫 ($disable)
No.6 | Safu 🚫 ($disable)
No.6 | Shion 🚫 ($disable)
Nobunaga no Shinobi | Chidori 🚫 ($disable)
Nodame Cantabile | Franz von Stresemann 🚫 ($disable)
Nodame Cantabile | Kiyora Miki 🚫 ($disable)
Nodame Cantabile | Masumi Okuyama 🚫 ($disable)
Nodame Cantabile | Megumi Noda 🚫 ($disable)
Ojamajo Doremi | Aiko Senoo 🚫 ($disable)
Ojamajo Doremi | Doremi Harukaze 🚫 ($disable)
Ojamajo Doremi | Fami 🚫 ($disable)
Ojamajo Doremi | Hana Makihatayama 🚫 ($disable)
Ojamajo Doremi | Hazuki Fujiwara 🚫 ($disable)
Ojamajo Doremi | Momoko Asuka 🚫 ($disable)
Ojamajo Doremi | Onpu Segawa 🚫 ($disable)
Ojamajo Doremi | Pop Harukaze 🚫 ($disable)
Orange | Azusa Murasaka 🚫 ($disable)
Orange | Hiroto Suwa 🚫 ($disable)
Orange | Kakeru Naruse 🚫 ($disable)
Orange | Naho Takamiya 🚫 ($disable)
Orange | Saku Hagita 🚫 ($disable)
Orange | Takako Chino 🚫 ($disable)
Ore Monogatari!! | Ai Sunakawa 🚫 ($disable)
Ore Monogatari!! | Makoto Sunakawa 🚫 ($disable)
Ore Monogatari!! | Rinko Yamato 🚫 ($disable)
Ore Monogatari!! | Takeo Gouda 🚫 ($disable)
Ore Monogatari!! | Yukika Amami 🚫 ($disable)
Ore wo Suki nano wa Omae dake ka yo | Sumireko Sanshokuin 🚫 ($disable)
Photokano | Haruka Niimi 🚫 ($disable)
Photokano | Hikari Sanehara 🚫 ($disable)
Photokano | Rina Yunoki 🚫 ($disable)
Piano no Mori | Kai Ichinose 🚫 ($disable)
Piano no Mori | Shuuhei Amamiya 🚫 ($disable)
Piano no Mori | Sousuke Ajino 🚫 ($disable)
Piano no Mori | Takako Maruyama 🚫 ($disable)
Planetes | Ai Tanabe 🚫 ($disable)
Planetes | Arvind Lavie 🚫 ($disable)
Planetes | Edelgard Rivera 🚫 ($disable)
Planetes | Fee Carmichael 🚫 ($disable)
Planetes | Gorou Hoshino 🚫 ($disable)
Planetes | Hachirouta Hoshino 🚫 ($disable)
Planetes | Hakim Ashmead 🚫 ($disable)
Planetes | Nono (Planetes) 🚫 ($disable)
Planetes | Philippe Myers 🚫 ($disable)
Planetes | Werner Locksmith 🚫 ($disable)
Prima Doll | Gekka
Prima Doll | Haizakura
Prima Doll | Karasuba (PD)
Punch Line | Ito Hikiotani 🚫 ($disable)
Punch Line | Meika Daihatsu 🚫 ($disable)
Punch Line | Narugino Mikatan 🚫 ($disable)
Punch Line | Rabura Chichibu 🚫 ($disable)
Punch Line | Ryuuto Teraoka 🚫 ($disable)
Qualidea Code | Aoi Yaegaki 🚫 ($disable)
Qualidea Code | Asuha Chigusa 🚫 ($disable)
Qualidea Code | Canaria Utara 🚫 ($disable)
Qualidea Code | Hotaru Rindou 🚫 ($disable)
Qualidea Code | Ichiya Suzaku 🚫 ($disable)
Qualidea Code | Kasumi Chigusa 🚫 ($disable)
Qualidea Code | Maihime Tenkawa 🚫 ($disable)
Rec | Aka Onda 🚫 ($disable)
Rikei ga Koi ni Ochita no de Shoumei shitemita. | Arika Yamamoto
Rikei ga Koi ni Ochita no de Shoumei shitemita. | Ena Ibarada
Rikei ga Koi ni Ochita no de Shoumei shitemita. | Kanade Kotonoha
Rikei ga Koi ni Ochita no de Shoumei shitemita. | Kosuke Inukai
Rikei ga Koi ni Ochita no de Shoumei shitemita. | Shinya Yukimura
Ristorante Paradiso | Nicoletta
Saenai Heroine no Sodatekata | Akane Kosaka 🚫 ($disable)
Saenai Heroine no Sodatekata | Echika Mizuhara 🚫 ($disable)
Saenai Heroine no Sodatekata | Izumi Hashima 🚫 ($disable)
Saenai Heroine no Sodatekata | Michiru Hyoudou 🚫 ($disable)
Saenai Heroine no Sodatekata | Ranko Morioka 🚫 ($disable)
Saenai Heroine no Sodatekata | Sonoko Machida 🚫 ($disable)
Saenai Heroine no Sodatekata | Tokino Himekawa 🚫 ($disable)
Saenai Heroine no Sodatekata | Tomoya Aki 🚫 ($disable)
Sakamichi no Apollon | Ritsuko Mukae 🚫 ($disable)
Sakamichi no Apollon | Yurika Fukahori 🚫 ($disable)
Sakurada Reset | Kei Asai 🚫 ($disable)
Sakurada Reset | Misora Haruki 🚫 ($disable)
Sakurada Reset | Seika Nonoo 🚫 ($disable)
Sakurada Reset | Sumire Souma 🚫 ($disable)
Sasameki Koto | Masaki Akemiya 🚫 ($disable)
Sasameki Koto | Sumika Murasame 🚫 ($disable)
Sasameki Koto | Ushio Kazama 🚫 ($disable)
Say I Love You. | Aiko Mutou 🚫 ($disable)
Say I Love You. | Asami Oikawa 🚫 ($disable)
Say I Love You. | Daichi Kurosawa 🚫 ($disable)
Say I Love You. | Kai Takemura 🚫 ($disable)
Say I Love You. | Megumi Kitagawa 🚫 ($disable)
Say I Love You. | Mei Tachibana 🚫 ($disable)
Say I Love You. | Nagisa Kurosawa 🚫 ($disable)
Say I Love You. | Yamato Kurosawa 🚫 ($disable)
Sayonara Zetsubou Sensei | Abiru Kobushi 🚫 ($disable)
Sayonara Zetsubou Sensei | Ai Kaga 🚫 ($disable)
Sayonara Zetsubou Sensei | Chie Arai 🚫 ($disable)
Sayonara Zetsubou Sensei | Chiri Kitsu 🚫 ($disable)
Sayonara Zetsubou Sensei | Harumi Fujiyoshi 🚫 ($disable)
Sayonara Zetsubou Sensei | Ikkyu 🚫 ($disable)
Sayonara Zetsubou Sensei | Jun Kudou 🚫 ($disable)
Sayonara Zetsubou Sensei | Kaere Kimura 🚫 ($disable)
Sayonara Zetsubou Sensei | Kafuka Fuura 🚫 ($disable)
Sayonara Zetsubou Sensei | Kagerou Usui 🚫 ($disable)
Sayonara Zetsubou Sensei | Kei Itoshiki 🚫 ($disable)
Sayonara Zetsubou Sensei | Kiri Komori 🚫 ($disable)
Sayonara Zetsubou Sensei | Majiru Itoshiki 🚫 ($disable)
Sayonara Zetsubou Sensei | Manami Ookusa 🚫 ($disable)
Sayonara Zetsubou Sensei | Matoi Tsunetsuki 🚫 ($disable)
Sayonara Zetsubou Sensei | Mayo Mitama 🚫 ($disable)
Sayonara Zetsubou Sensei | Meru Otonashi 🚫 ($disable)
Sayonara Zetsubou Sensei | Mikoto Itoshiki 🚫 ($disable)
Sayonara Zetsubou Sensei | Nami Hitou 🚫 ($disable)
Sayonara Zetsubou Sensei | Nozomu Itoshiki 🚫 ($disable)
Sayonara Zetsubou Sensei | Rin Itoshiki 🚫 ($disable)
Sayonara Zetsubou Sensei | Tane Kitsu 🚫 ($disable)
Sayonara Zetsubou Sensei | Tarou Sekiutsu 🚫 ($disable)
Seiren | Kyouko Touno
Seiren | Tooru Miyamae
Serial Experiments Lain | Juri Katou (SEL)
Serial Experiments Lain | Miho Iwakura
Serial Experiments Lain | Mika Iwakura 🚫 ($serverdisable)
Serial Experiments Lain | Myu-Myu
Serial Experiments Lain | Reika Yamamoto 🚫 ($serverdisable)
Shadows House | Barbara Shadow 🚫 ($disable)
Shadows House | Emilico 🚫 ($disable)
Shadows House | John Shadow 🚫 ($disable)
Shadows House | Kate Shadow 🚫 ($disable)
Shadows House | Louise Shadow 🚫 ($disable)
Shadows House | Maryrose Shadow 🚫 ($disable)
Shadows House | Mia (SH) 🚫 ($disable)
Shadows House | Patrick Shadow 🚫 ($disable)
Shadows House | Rosemary (SH) 🚫 ($disable)
Shadows House | Rum (SH) 🚫 ($disable)
Shadows House | Shaun 🚫 ($disable)
Shadows House | Shirley Shadow 🚫 ($disable)
Shingeki no Kyojin | Isabel Magnolia 🚫 ($disable)
Shingeki no Kyojin | Mina Carolina 🚫 ($disable)
Shingeki no Kyojin | Petra Ral 🚫 ($disable)
Shingeki no Kyojin | Yelena 🚫 ($disable)
Shinsekai yori | Mamoru Itou 🚫 ($disable)
Shinsekai yori | Maria Akizuki 🚫 ($disable)
Shinsekai yori | Reiko Amano 🚫 ($disable)
Shinsekai yori | Satoru Asahina 🚫 ($disable)
Shinsekai yori | Shisei Kaburagi 🚫 ($disable)
Shinsekai yori | Shun Aonuma 🚫 ($disable)
Shinsekai yori | Tomiko Asahina 🚫 ($disable)
Shirobako | Chiemi Doumoto 🚫 ($disable)
Shirobako | Ema Yasuhara 🚫 ($disable)
Shirobako | Erika Yano 🚫 ($disable)
Shirobako | Kaede Miyai 🚫 ($disable)
Shirobako | Midori Imai 🚫 ($disable)
Shirobako | Misa Toudou 🚫 ($disable)
Shirobako | Misato Segawa 🚫 ($disable)
Shirobako | Rinko Ogasawara 🚫 ($disable)
Shirobako | Sara Satou 🚫 ($disable)
Shirobako | Seiichi Kinoshita 🚫 ($disable)
Shirobako | Shizuka Sakaki 🚫 ($disable)
Shirobako | Tarou Takanashi 🚫 ($disable)
Shirobako | Tsubaki Andou 🚫 ($disable)
Shirobako | Yuka Okitsu 🚫 ($disable)
Shirobako | Yumi Iguchi 🚫 ($disable)
Shiroi Suna no Aquatope | Akari Maeda
Shiroi Suna no Aquatope | Chiyu Haebaru
Shiroi Suna no Aquatope | Fuuka Miyazawa
Shiroi Suna no Aquatope | Kai Nakamura
Shiroi Suna no Aquatope | Kaoru Shimabukuro
Shiroi Suna no Aquatope | Kuuya Yakamashi
Shiroi Suna no Aquatope | Tsukimi Teruya
Shirokuma Cafe | Sasako 🚫 ($disable)
Shouwa Genroku Rakugo Shinjuu | Konatsu 🚫 ($disable)
Shouwa Genroku Rakugo Shinjuu | Matsuda 🚫 ($disable)
Shouwa Genroku Rakugo Shinjuu | Miyokichi 🚫 ($disable)
Shouwa Genroku Rakugo Shinjuu | Shinnosuke 🚫 ($disable)
Shouwa Genroku Rakugo Shinjuu | Sukeroku Yuurakutei 🚫 ($disable)
Shouwa Genroku Rakugo Shinjuu | Yakumo Yuurakutei 🚫 ($disable)
Shouwa Genroku Rakugo Shinjuu | Yotarou 🚫 ($disable)
Shugo Chara! | Amu Hinamori 🚫 ($disable)
Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka? | Chtholly 🚫 ($disable)
Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka? | Ithea 🚫 ($disable)
Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka? | Ryehl 🚫 ($disable)
Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka? | Willem Kmetsch 🚫 ($disable)
Sketchbook: Full Color's | Hazuki Torikai 🚫 ($disable)
Sketchbook: Full Color's | Kate (SFC) 🚫 ($disable)
Sketchbook: Full Color's | Natsumi Asou 🚫 ($disable)
Sketchbook: Full Color's | Sora Kajiwara 🚫 ($disable)
Sonny Boy | Asakaze (SB)
Sonny Boy | Hoshi (SB)
Sonny Boy | Kodama (SB)
Sonny Boy | Mizuho
Sonny Boy | Nagara
Sonny Boy | Pony
Sonny Boy | Rajdhani
Sonny Boy | Tsubasa (SB)
Sonny Boy | Voice (SB)
Sora to Umi no Aida | Makoto Mitsurugi 🚫 ($disable)
Sora yori mo Tooi Basho | Yumiko Samejima 🚫 ($disable)
Soredemo Machi wa Mawatteiru | Futaba Kon
Soredemo Machi wa Mawatteiru | Hotori Arashiyama
Soredemo Machi wa Mawatteiru | Toshiko Tatsuno
Soredemo Sekai wa Utsukushii | Livius Orvinus Ifrikia 🚫 ($disable)
Soredemo Sekai wa Utsukushii | Nike Remercier 🚫 ($disable)
Spy Kyoushitsu | Lily (SR)
Spy Kyoushitsu | Thea (SR)
Suzuka | Honoka Sakurai 🚫 ($disable)
Suzuka | Miki Hashiba 🚫 ($disable)
Suzuka | Suzuka Asahina 🚫 ($disable)
Suzumiya Haruhi no Yuuutsu | Sasaki 🚫 ($disable)
Suzumiya Haruhi no Yuuutsu | T (HS) 🚫 ($disable)
Suzumiya Haruhi no Yuuutsu | Yasumi Watahashi 🚫 ($disable)
Suzumiya Haruhi no Yuuutsu | Yuki Nagato 🚫 ($disable)
Tada-kun wa Koi wo Shinai | Alexandra Magritte 🚫 ($disable)
Tada-kun wa Koi wo Shinai | Hajime Sugimoto 🚫 ($disable)
Tada-kun wa Koi wo Shinai | Hinako Hasegawa 🚫 ($disable)
Tada-kun wa Koi wo Shinai | Kaoru Ijuuin 🚫 ($disable)
Tada-kun wa Koi wo Shinai | Kentarou Yamashita 🚫 ($disable)
Tada-kun wa Koi wo Shinai | Mitsuyoshi Tada 🚫 ($disable)
Tada-kun wa Koi wo Shinai | Teresa Wagner 🚫 ($disable)
Tada-kun wa Koi wo Shinai | Yui Tada 🚫 ($disable)
Tai Ari Deshita. Ojou-sama wa Kakutou Game Nante Shinai | Aya Mitsuki 🚫 ($disable)
Tai Ari Deshita. Ojou-sama wa Kakutou Game Nante Shinai | Mio Yorue 🚫 ($disable)
Taisou Zamurai | Ayu (TZ)
Taisou Zamurai | Jotaro Aragaki
Taisou Zamurai | Kitty Zhang
Taisou Zamurai | Leonardo (TZ)
Taisou Zamurai | Rei Aragaki
Taisou Zamurai | Tetsuo Minamino
Taisou Zamurai | Tomoyo Aragaki
Tamayura | Suzune Maekawa
Tari Tari | Atsuhiro Maeda 🚫 ($disable)
Tari Tari | Konatsu Miyamoto 🚫 ($disable)
Tari Tari | Mahiru Sakai 🚫 ($disable)
Tari Tari | Sawa Okita 🚫 ($disable)
Tari Tari | Taichi Tanaka 🚫 ($disable)
Tari Tari | Wakana Sakai 🚫 ($disable)
Tenku no Escaflowne | Hitomi Kanzaki 🚫 ($disable)
Tenku no Escaflowne | Merle 🚫 ($disable)
Tenku no Escaflowne | Millerna Sara Aston 🚫 ($disable)
Tetsuwan Birdy | Birdy Cephon Altera 🚫 ($disable)
Tetsuwan Birdy | Natsumi Hayamiya 🚫 ($disable)
Tetsuwan Birdy | Sayaka Nakasugi 🚫 ($disable)
The Tatami Galaxy | Akashi 🚫 ($disable)
Toaru | Accelerator 🚫 ($disable)
Toaru | Aiho Yomikawa 🚫 ($disable)
Toaru | Aisa Himegami 🚫 ($disable)
Toaru | Aiwass 🚫 ($disable)
Toaru | Angelene 🚫 ($disable)
Toaru | Archangel Gabriel 🚫 ($disable)
Toaru | Arisa Meigo 🚫 ($disable)
Toaru | Awaki Musujime 🚫 ($disable)
Toaru | Bayloupe 🚫 ($disable)
Toaru | Esther Rosenthal 🚫 ($disable)
Toaru | Febri 🚫 ($disable)
Toaru | Fran Karasuma 🚫 ($disable)
Toaru | Frenda Seivelun 🚫 ($disable)
Toaru | Harumi Kiyama 🚫 ($disable)
Toaru | Hirumi Hishigata 🚫 ($disable)
Toaru | Hyouka Kazakiri 🚫 ($disable)
Toaru | Itsuwa 🚫 ($disable)
Toaru | Janie 🚫 ($disable)
Toaru | Junko Hokaze 🚫 ($disable)
Toaru | Kaori Kanzaki 🚫 ($disable)
Toaru | Kazari Uiharu 🚫 ($disable)
Toaru | Kimi Shundan 🚫 ($disable)
Toaru | Kinuho Wannai 🚫 ($disable)
Toaru | Lessar 🚫 ($disable)
Toaru | Maria Kumokawa 🚫 ($disable)
Toaru | Mii Konori 🚫 ($disable)
Toaru | Mikoto Misaka 🚫 ($disable)
Toaru | Mina Mathers 🚫 ($disable)
Toaru | Misaka 9982 🚫 ($disable)
Toaru | Misaka Worst 🚫 ($disable)
Toaru | Misuzu Misaka 🚫 ($disable)
Toaru | Mitsuko Kongou 🚫 ($disable)
Toaru | Nephthys 🚫 ($disable)
Toaru | Oriana Thomson 🚫 ($disable)
Toaru | Orsola Aquinas 🚫 ($disable)
Toaru | Othinus 🚫 ($disable)
Toaru | Rakko Yumiya 🚫 ($disable)
Toaru | Rikou Takitsubo 🚫 ($disable)
Toaru | Ruiko Saten 🚫 ($disable)
Toaru | Ryouko Kuriba (Doppelganger) 🚫 ($disable)
Toaru | Ryouko Kuriba 🚫 ($disable)
Toaru | Saiai Kinuhata 🚫 ($disable)
Toaru | Seiri Fukiyose 🚫 ($disable)
Toaru | Shinobu Nunotaba 🚫 ($disable)
Toaru | Shizuri Mugino 🚫 ($disable)
Toaru | Shutaura Sequenzia 🚫 ($disable)
Toaru | Touma Kamijou 🚫 ($disable)
Toaru | Umidori Kuroyoru 🚫 ($disable)
Toaru | Will of the Whole Misaka Network 🚫 ($disable)
Tonari no Kaibutsu-kun | Asako Natsume 🚫 ($disable)
Tonari no Kaibutsu-kun | Chizuru Ooshima 🚫 ($disable)
Tonari no Kaibutsu-kun | Haru Yoshida 🚫 ($disable)
Tonari no Kaibutsu-kun | Kenji Yamaguchi 🚫 ($disable)
Tonari no Kaibutsu-kun | Mitsuyoshi Misawa 🚫 ($disable)
Tonari no Kaibutsu-kun | Nagoya 🚫 ($disable)
Tonari no Kaibutsu-kun | Shizuku Mizutani 🚫 ($disable)
Tonari no Kaibutsu-kun | Souhei Sasahara 🚫 ($disable)
Tonari no Kaibutsu-kun | Yuu Miyama 🚫 ($disable)
Tonari no Kaibutsu-kun | Yuuzan Yoshida 🚫 ($disable)
Tonari no Seki-kun | Rumi Yokoi 🚫 ($disable)
Toradora! | Inko 🚫 ($disable)
Toradora! | Kouji Haruta 🚫 ($disable)
Toradora! | Maya Kihara 🚫 ($disable)
Toradora! | Nanako Kashii 🚫 ($disable)
Toradora! | Ryuuji Takasu 🚫 ($disable)
Toradora! | Sumire Kanou 🚫 ($disable)
Toradora! | Taiga Aisaka 🚫 ($disable)
Toradora! | Yasuko Takasu 🚫 ($disable)
Toradora! | Yuri Koigakubo 🚫 ($disable)
Toradora! | Yuriko Mitsui 🚫 ($disable)
True Tears | Hiromi Yuasa
True Tears | Noe Isurugi
Tsuki ga Kirei | Akane Mizuno
Tsuki ga Kirei | Chinatsu Nishio
Tsuki ga Kirei | Kotarou Azumi
Uchi Tama?! Uchi no Tama Shirimasen ka? | Gon Noda 🚫 ($disable)
Uchi Tama?! Uchi no Tama Shirimasen ka? | Momo Hanasaki 🚫 ($disable)
Uchi Tama?! Uchi no Tama Shirimasen ka? | Pochi Yamada 🚫 ($disable)
Uchi Tama?! Uchi no Tama Shirimasen ka? | Tora Kiso 🚫 ($disable)
Uchouten Kazoku | Akadama
Uchouten Kazoku | Gyokuran Nanzenji
Uchouten Kazoku | Kaisei Ebisugawa
Uchouten Kazoku | Nidaime
Uchouten Kazoku | Tousen Shimogamo
Uchouten Kazoku | Yaichirou Shimogamo
Uchouten Kazoku | Yajirou Shimogamo
Uchouten Kazoku | Yasaburou Shimogamo
Uchouten Kazoku | Yashirou Shimogamo
Udon no Kuni no Kiniro Kemari | Poco
Udon no Kuni no Kiniro Kemari | Shinobu Nakajima
Udon no Kuni no Kiniro Kemari | Souta Tawara
Uma Musume: Pretty Derby | Admire Vega 🚫 ($disable)
Uma Musume: Pretty Derby | Agnes Digital 🚫 ($disable)
Uma Musume: Pretty Derby | Agnes Tachyon 🚫 ($disable)
Uma Musume: Pretty Derby | Air Groove 🚫 ($disable)
Uma Musume: Pretty Derby | Air Shakur 🚫 ($disable)
Uma Musume: Pretty Derby | Bamboo Memory 🚫 ($disable)
Uma Musume: Pretty Derby | Berno Light 🚫 ($disable)
Uma Musume: Pretty Derby | Biko Pegasus 🚫 ($disable)
Uma Musume: Pretty Derby | Biwa Hayahide 🚫 ($disable)
Uma Musume: Pretty Derby | Broye 🚫 ($disable)
Uma Musume: Pretty Derby | Daitaku Helios 🚫 ($disable)
Uma Musume: Pretty Derby | Daiwa Scarlet 🚫 ($disable)
Uma Musume: Pretty Derby | Eishin Flash 🚫 ($disable)
Uma Musume: Pretty Derby | Fine Motion 🚫 ($disable)
Uma Musume: Pretty Derby | Fuji Kiseki 🚫 ($disable)
Uma Musume: Pretty Derby | Gold Ship 🚫 ($disable)
Uma Musume: Pretty Derby | Grass Wonder 🚫 ($disable)
Uma Musume: Pretty Derby | Haru Urara 🚫 ($disable)
Uma Musume: Pretty Derby | Hishi Akebono 🚫 ($disable)
Uma Musume: Pretty Derby | Hishi Amazon 🚫 ($disable)
Uma Musume: Pretty Derby | Ikuno Dictus 🚫 ($disable)
Uma Musume: Pretty Derby | Inari One 🚫 ($disable)
Uma Musume: Pretty Derby | Ines Fujin 🚫 ($disable)
Uma Musume: Pretty Derby | King Halo 🚫 ($disable)
Uma Musume: Pretty Derby | Kitasan Black 🚫 ($disable)
Uma Musume: Pretty Derby | Manhattan Cafe 🚫 ($disable)
Uma Musume: Pretty Derby | Maruzensky 🚫 ($disable)
Uma Musume: Pretty Derby | Marvelous Sunday 🚫 ($disable)
Uma Musume: Pretty Derby | Meisho Doto 🚫 ($disable)
Uma Musume: Pretty Derby | Mejiro Palmer 🚫 ($disable)
Uma Musume: Pretty Derby | Mejiro Ryan 🚫 ($disable)
Uma Musume: Pretty Derby | Mihono Bourbon 🚫 ($disable)
Uma Musume: Pretty Derby | Mr. C.B. 🚫 ($disable)
Uma Musume: Pretty Derby | Nakayama Festa 🚫 ($disable)
Uma Musume: Pretty Derby | Narita Brian 🚫 ($disable)
Uma Musume: Pretty Derby | Narita Taishin 🚫 ($disable)
Uma Musume: Pretty Derby | Nishino Flower 🚫 ($disable)
Uma Musume: Pretty Derby | Oguri Cap 🚫 ($disable)
Uma Musume: Pretty Derby | Rice Shower 🚫 ($disable)
Uma Musume: Pretty Derby | Sakura Bakushin O 🚫 ($disable)
Uma Musume: Pretty Derby | Satono Diamond 🚫 ($disable)
Uma Musume: Pretty Derby | Seeking the Pearl 🚫 ($disable)
Uma Musume: Pretty Derby | Shinko Windy 🚫 ($disable)
Uma Musume: Pretty Derby | Smart Falcon 🚫 ($disable)
Uma Musume: Pretty Derby | Special Week 🚫 ($disable)
Uma Musume: Pretty Derby | Super Creek 🚫 ($disable)
Uma Musume: Pretty Derby | Symboli Rudolf 🚫 ($disable)
Uma Musume: Pretty Derby | T.M. Opera O 🚫 ($disable)
Uma Musume: Pretty Derby | Tazuna Hayakawa 🚫 ($disable)
Uma Musume: Pretty Derby | Tosen Jordan 🚫 ($disable)
Uma Musume: Pretty Derby | Vodka (UM) 🚫 ($disable)
Uma Musume: Pretty Derby | Winning Ticket 🚫 ($disable)
Uma Musume: Pretty Derby | Yaeno Muteki 🚫 ($disable)
Uma Musume: Pretty Derby | Yukino Bijin 🚫 ($disable)
Uma Musume: Pretty Derby | Zenno Rob Roy 🚫 ($disable)
Umineko no Naku Koro ni | Ange Ushiromiya 🚫 ($disable)
Umineko no Naku Koro ni | Asmodeus of Lust 🚫 ($disable)
Umineko no Naku Koro ni | Battler Ushiromiya 🚫 ($disable)
Umineko no Naku Koro ni | Beatrice 🚫 ($disable)
Umineko no Naku Koro ni | Beelzebub of Gluttony 🚫 ($disable)
Umineko no Naku Koro ni | Belphegor of Sloth 🚫 ($disable)
Umineko no Naku Koro ni | Bernkastel 🚫 ($disable)
Umineko no Naku Koro ni | Chiester 410 🚫 ($disable)
Umineko no Naku Koro ni | Chiester 556 🚫 ($disable)
Umineko no Naku Koro ni | Clair Vaux Bernardus 🚫 ($disable)
Umineko no Naku Koro ni | Cornelia 🚫 ($disable)
Umineko no Naku Koro ni | Dlanor A. Knox 🚫 ($disable)
Umineko no Naku Koro ni | Featherine Augustus Aurora 🚫 ($disable)
Umineko no Naku Koro ni | Furfur 🚫 ($disable)
Umineko no Naku Koro ni | Gaap 🚫 ($disable)
Umineko no Naku Koro ni | Gertrude 🚫 ($disable)
Umineko no Naku Koro ni | Lambdadelta 🚫 ($disable)
Umineko no Naku Koro ni | Leviathan of Envy 🚫 ($disable)
Umineko no Naku Koro ni | Lion Ushiromiya 🚫 ($disable)
Umineko no Naku Koro ni | Lucifer of Pride 🚫 ($disable)
Umineko no Naku Koro ni | Mammon of Greed 🚫 ($disable)
Umineko no Naku Koro ni | Natsuhi Ushiromiya 🚫 ($disable)
Umineko no Naku Koro ni | Satan of Wrath 🚫 ($disable)
Umineko no Naku Koro ni | Virgilia 🚫 ($disable)
Utawarerumono | Eruruu 🚫 ($disable)
Utawarerumono | Kamyu 🚫 ($disable)
Utawarerumono | Ulthury 🚫 ($disable)
Utawarerumono: Itsuwari no Kamen | Atuy 🚫 ($disable)
Utawarerumono: Itsuwari no Kamen | Honoka (Uta) 🚫 ($disable)
Utawarerumono: Itsuwari no Kamen | Kuon 🚫 ($disable)
Utawarerumono: Itsuwari no Kamen | Munechika 🚫 ($disable)
Utawarerumono: Itsuwari no Kamen | Raiko 🚫 ($disable)
Utawarerumono: Itsuwari no Kamen | Rulutieh 🚫 ($disable)
Utawarerumono: Itsuwari no Kamen | Saraana 🚫 ($disable)
Utawarerumono: Itsuwari no Kamen | Uruuru 🚫 ($disable)
Violet Evergarden | Damian Baldur Flugel
Violet Evergarden | Dietfried Bougainvillea
Violet Evergarden | Leon Stephanotis
Violet Evergarden | Oscar Webster
Violet Evergarden | Spencer Marlborough
Violet Evergarden | Yuris
Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui! | Akane Okada 🚫 ($disable)
Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui! | Asuka Katou 🚫 ($disable)
Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui! | Emiri Uchi 🚫 ($disable)
Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui! | Hina Nemoto 🚫 ($disable)
Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui! | Kotomi Komiyama 🚫 ($disable)
Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui! | Mako Tanaka 🚫 ($disable)
Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui! | Masaki Yoshida 🚫 ($disable)
Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui! | Megumi Imae 🚫 ($disable)
Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui! | Shiki Futaki 🚫 ($disable)
Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui! | Tomoki Kuroki 🚫 ($disable)
Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui! | Tomoko Kuroki 🚫 ($disable)
Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui! | Yuri Tamura 🚫 ($disable)
Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui! | Yuu Naruse 🚫 ($disable)
Watashi no Shiawase na Kekkon | Kyoka Kudou 🚫 ($disable)
Watashi no Shiawase na Kekkon | Miyo Saimori 🚫 ($disable)
White Album 2 | Akina Ogiso 🚫 ($disable)
White Album 2 | Haruki Kitahara 🚫 ($disable)
White Album 2 | Io Mizusawa 🚫 ($disable)
White Album 2 | Kazusa Touma 🚫 ($disable)
White Album 2 | Setsuna Ogiso 🚫 ($disable)
White Album 2 | Takeya Iizuka 🚫 ($disable)
White Album 2 | Tomo Yanagihara 🚫 ($disable)
White Album 2 | Youko Touma 🚫 ($disable)
Working!! | Aoi Yamada 🚫 ($disable)
Working!! | Hiroomi Souma 🚫 ($disable)
Working!! | Izumi Takanashi 🚫 ($disable)
Working!! | Jun Satou 🚫 ($disable)
Working!! | Kazue Takanashi 🚫 ($disable)
Working!! | Kirio Yamada 🚫 ($disable)
Working!! | Kozue Takanashi 🚫 ($disable)
Working!! | Kyouko Shirafuji 🚫 ($disable)
Working!! | Mahiru Inami 🚫 ($disable)
Working!! | Maya Matsumoto 🚫 ($disable)
Working!! | Mitsuki Mashiba 🚫 ($disable)
Working!! | Nazuna Takanashi 🚫 ($disable)
Working!! | Popura Taneshima 🚫 ($disable)
Working!! | Souta Takanashi 🚫 ($disable)
Working!! | Yachiyo Todoroki 🚫 ($disable)
